case_id,query,expected_intent,case_type,memo
P001,API timeout 500 에러가 납니다,it_api_timeout,positive,API 장애 대표 케이스
P002,gateway timeout 때문에 업무 API가 실패합니다,it_api_timeout,positive,timeout 키워드 기반 대표 케이스
P003,API 응답 지연과 500 오류를 확인해 주세요,it_api_timeout,positive,API 응답 지연 케이스
P004,사내 API 호출이 timeout으로 끝납니다,it_api_timeout,positive,API timeout 표현
P005,거래 API가 500 에러를 반환합니다,it_api_timeout,positive,API 500 에러 표현
P006,업무 API timeout 알림이 반복됩니다,it_api_timeout,positive,API timeout 반복 표현
P007,배치 API 응답 지연을 확인해 주세요,it_api_timeout,positive,API 응답 지연 표현
P008,API gateway timeout 로그를 봐 주세요,it_api_timeout,positive,API gateway timeout 표현
P009,고객 조회 API가 timeout 후 실패합니다,it_api_timeout,positive,API timeout 실패 표현
P010,내부 API 500 응답이 계속 발생합니다,it_api_timeout,positive,API 500 반복 표현
P011,정산 API 응답 지연 알림이 떴습니다,it_api_timeout,positive,API 응답 지연 알림
P012,업무 API가 간헐적으로 timeout 처리됩니다,it_api_timeout,positive,API 간헐 timeout
P013,API 서버 500 오류 원인 확인이 필요합니다,it_api_timeout,positive,API 서버 오류 표현
P014,연계 API timeout 모니터링 결과를 확인해 주세요,it_api_timeout,positive,API 모니터링 표현
P015,계정 잠금 해제를 요청합니다,it_password_reset,positive,계정 잠금 해제 대표 케이스
P016,로그인 계정 잠금 상태를 풀고 싶습니다,it_password_reset,positive,계정 잠금 로그인 표현
P017,사번 계정 잠금 때문에 포털 접속이 안 됩니다,it_password_reset,positive,계정 잠금 포털 표현
P018,직원 계정 잠금 해제 절차가 필요합니다,it_password_reset,positive,계정 잠금 절차 표현
P019,계정 잠금으로 업무 포털 로그인이 막혔습니다,it_password_reset,positive,계정 잠금 포털 장애
P020,계정 잠금 해제 요청 티켓을 만들고 싶습니다,it_password_reset,positive,계정 잠금 티켓 표현
P021,계정 잠금 상태라 사내 시스템 로그인이 안 됩니다,it_password_reset,positive,계정 잠금 사내 시스템
P022,내 계정 잠금 해제 진행 상태를 알고 싶습니다,it_password_reset,positive,계정 잠금 상태 확인
P023,휴직 복귀 후 계정 잠금 상태입니다,it_password_reset,positive,계정 잠금 복귀 표현
P024,신규 직원 계정 잠금 해제 절차를 안내해 주세요,it_password_reset,positive,계정 잠금 신규 직원
P025,포털 계정 잠금 메시지가 표시됩니다,it_password_reset,positive,계정 잠금 메시지
P026,계정 잠금 해제 승인 흐름을 확인해 주세요,it_password_reset,positive,계정 잠금 승인 흐름
P027,사내 로그인 계정 잠금 조치가 필요합니다,it_password_reset,positive,계정 잠금 조치 표현
P028,계정 잠금 때문에 업무 시스템 접근이 막혔습니다,it_password_reset,positive,계정 잠금 업무 접근
